duration_s,power_w
535,204.73831775700936
536,204.8339552238806
537,204.88454376163878
538,204.91635687732338
539,204.94805194805198
540,204.98518518518514
541,205.0591497227356
542,205.1678966789668
543,205.26335174953957
544,205.3419117647059
545,205.4165137614679
546,205.48534798534808
547,205.55210237659963
548,205.61131386861317
549,205.65391621129325
550,205.6781818181818
551,205.70235934664245
552,205.78079710144925
553,205.90958408679927
554,206.03610108303252
555,206.136936936937
556,206.22482014388493
557,206.2854578096948
558,206.32078853046602
559,206.37209302325587
560,206.4375
561,206.49019607843132
562,206.52669039145906
563,206.55417406749558
564,206.5797872340425
565,206.6141592920354
566,206.673144876325
567,206.73544973544972
568,206.7799295774647
569,206.8207381370826
570,206.86666666666665
571,206.90893169877404
572,206.93706293706296
573,206.96160558464226
574,207.00696864111498
575,207.0817391304348
576,207.140625
577,207.17157712305024
578,207.19896193771626
579,207.2210708117444
580,207.24310344827586
581,207.263339070568
582,207.2766323024056
583,207.28644939965693
584,207.29280821917806
585,207.30256410256422
586,207.31569965870307
587,207.3219761499149
588,207.31632653061226
589,207.30899830220713
590,207.3271186440678
591,207.3705583756345
592,207.40371621621622
593,207.3962900505902
594,207.36700336700335
595,207.27899159663878
596,207.20637583892616
597,207.19430485762146
598,207.18729096989966
599,207.13021702838063
600,207.04166666666666
601,206.97171381031612
602,206.88205980066448
603,206.75456053067992
604,206.5927152317881
605,206.40991735537185
606,206.2128712871287
607,206.00823723228996
608,205.80263157894737
609,205.59770114942532
610,205.39180327868854
611,205.1849427168576
612,204.97712418300654
613,204.7667210440457
614,204.55211726384368
615,204.33658536585364
616,204.12662337662337
617,203.9222042139384
618,203.71844660194176
619,203.51534733441036
620,203.31290322580645
621,203.11111111111106
622,202.90836012861735
623,202.70465489566612
624,202.49839743589743
625,202.288
626,202.07507987220444
627,201.86124401913878
628,201.6512738853503
629,201.44515103338637
630,201.2428571428572
631,201.06022187004749
632,200.8607594936709
633,200.65560821484993
634,200.46056782334384
635,200.27401574803153
636,200.0896226415094
637,199.90580847723706
638,199.7241379310345
639,199.5399061032864
640,199.353125
641,199.19188767550702
642,199.08566978193147
643,198.97822706065318
644,198.87422360248448
645,198.7813953488372
646,198.68885448916407
647,198.58268933539412
648,198.4722222222222
649,198.37442218798148
650,198.2784615384615
651,198.17357910906298
652,198.06748466257665
653,197.96477794793262
654,197.86085626911319
655,197.75725190839697
656,197.64786585365854
657,197.53729071537285
658,197.42705167173253
659,197.31714719271622
660,197.2060606060606
661,197.09682299546145
662,196.98640483383684
663,196.87330316742091
664,196.75602409638552
665,196.64360902255635
666,196.55105105105108
667,196.45127436281862
668,196.35179640718565
669,196.24663677130044
670,196.14029850746266
671,196.03129657228016
672,195.91815476190476
673,195.81129271916797
674,195.7210682492582
675,195.64444444444445
676,195.54733727810648
677,195.44017725258496
678,195.29793510324484
679,195.1472754050074
680,195.01176470588234
681,194.93098384728341
682,194.86070381231673
683,194.78330893118604
684,194.6988304093567
685,194.61021897810213
686,194.5160349854228
687,194.4206695778748
688,194.32122093023256
689,194.24238026124814
690,194.18695652173918
691,194.12735166425466
692,194.03901734104045
693,193.94949494949495
694,193.8674351585014
695,193.78992805755396
696,193.7140804597701
697,193.64131994261123
698,193.56733524355298
699,193.4964234620887
700,193.42571428571432
701,193.3480741797432
702,193.26068376068378
703,193.17069701280226
704,193.09375
705,193.04113475177306
706,192.99575070821527
707,192.93917963224894
708,192.86016949152543
709,192.77150916784205
710,192.68169014084506
711,192.58931082981712
712,192.4957865168539
713,192.40392706872368
714,192.31512605042025
715,192.22517482517478
716,192.12849162011176
717,192.02649930264997
718,191.93732590529245
719,191.85813630041724
720,191.77222222222224
721,191.68099861303745
722,191.5831024930748
723,191.52697095435693
724,191.46408839779008
725,191.3793103448276
726,191.28374655647386
727,191.181568088033
728,191.07829670329664
729,190.97805212620017
730,190.8958904109589
731,190.85772913816692
732,190.8428961748634
733,190.81718963165076
734,190.75340599455035
735,190.67074829931965
736,190.59646739130434
737,190.59023066485753
738,190.5081300813008
739,190.30581867388364
740,190.0554054054054
741,189.79892037786774
742,189.54312668463612
743,189.28802153432036
744,189.03360215053766
745,188.7798657718121
746,188.57238605898127
747,188.38286479250348
748,188.21390374331548
749,188.0747663551402
750,187.94133333333338
751,187.7962716378163
752,187.66622340425528
753,187.74634794156708
754,187.83687002652516
755,187.9205298013245
756,187.99338624338623
757,188.0581241743725
758,188.12137203166225
759,188.17391304347825
760,188.22368421052633
761,188.2733245729304
